BusinessDivision,CountryGroup,PlanningEntity,StrategicCrop,Crop,ProductLine,Commonname,LocalProductName,Market_Volume_2022,Market_Volume_2023,Market_Value_USD_2022,Market_Value_USD_2023
CP Core,Andean,Colombia,Vegetables,Garden Peas (L3),Fungicides,difenoconazole,DIVINO 250 EC -  [L],5.37,5.37,56.8,57.3
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Fungicides,difenoconazole,DIVINO 250 EC -  [L],1.61,1.61,17.04,17.19
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,difenoconazole,DIVINO 250 EC -  [L],1.61,1.61,17.04,17.19
CP Core,Andean,Colombia,Specialty,Bananas (L3),Fungicides,chlorothalonil,DURONIL 720 SC (CLOROTALONIL) -  [L],214.94,214.94,810.47,817.58
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,dimethomorph,EBANO -  [L],22.57,22.57,342.76,345.77
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Fungicides,dimethomorph,EBANO -  [L],1.61,1.61,24.48,24.7
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,sulfur,ELOSAL 720 SC -  [L],16.15,16.15,52.04,52.49
CP Core,Andean,Colombia,Specialty,Other Fruits (L3),Fungicides,sulfur,ELOSAL 720 SC -  [L],49.15,49.15,158.33,159.72
CP Core,Andean,Colombia,Specialty,Oil Palm (L3),Insecticides,emamectin,EMAMECTINA DVA -  [L],3.95,3.95,115.45,116.47
CP Core,Andean,Colombia,Vegetables,Brassicas Oleracea (L3),Insecticides,emamectin,EMAMECTINA DVA -  [L],9.89,9.89,288.63,291.17
CP Core,Andean,Colombia,Specialty,Potatoes (L2),Fungicides,penflufen,EMESTO PRIME -  [KG],15.44,15.44,414.63,418.27
CP Core,Andean,Colombia,Corn,Corn (L2),Herbicides,glyphosate,ESTELAR 648 SL -  [L],33.23,33.23,212.45,214.31
CP Core,Andean,Colombia,Specialty,Citrus (L2),Herbicides,glyphosate,ESTELAR 648 SL -  [L],124.07,124.07,793.13,800.1
CP Core,Andean,Colombia,Specialty,Cotton (L2),Herbicides,glyphosate,ESTELAR 648 SL -  [L],19.25,19.25,123.09,124.17
CP Core,Andean,Colombia,Specialty,Plantain (L3),Herbicides,glyphosate,ESTELAR 648 SL -  [L],16.77,16.77,107.23,108.18
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Herbicides,glyphosate,ESTELAR 648 SL -  [L],4.16,4.16,26.62,26.86
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Herbicides,glyphosate,GLIFOSOL SL -  [L],3.03,3.03,19.36,19.53
CP Core,Andean,Colombia,Vegetables,Peppers (L3),Insecticides,thiocyclam,EVISECT 50 SP -  [KG],1.84,1.84,57.71,58.22
CP Core,Andean,Colombia,Soybeans,Soybeans (L2),Insecticides,spinetoram,EXALT 60 SC -  [L],5.37,5.37,343.24,346.26
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Insecticides,spinetoram,EXALT 60 SC -  [L],6.45,6.45,411.89,415.51
CP Core,Andean,Colombia,Vegetables,Dry Legumes / Pulses (L3),Insecticides,spinetoram,EXALT 60 SC -  [L],5.37,5.37,343.24,346.26
CP Core,Andean,Colombia,Vegetables,Tomatoes (L3),Insecticides,spinetoram,EXALT 60 SC -  [L],4.3,4.3,274.59,277
CP Core,Andean,Colombia,Rice,Rice (L2),Herbicides,glyphosate,FAENA 480 SL -  [L],97.83,97.83,458.65,462.68
CP Core,Andean,Colombia,Specialty,Plantain (L3),Herbicides,glyphosate,FAENA 480 SL -  [L],19.34,19.34,90.68,91.48
CP Core,Andean,Colombia,Specialty,Other Fruits (L3),Herbicides,glyphosate,FAENA 480 SL -  [L],34.21,34.21,160.39,161.8
CP Core,Andean,Colombia,Sugarcane,Sugarcane (L2),Herbicides,glyphosate,FAENA 480 SL -  [L],16.62,16.62,77.9,78.58
CP Core,Andean,Colombia,Corn,Corn (L2),Herbicides,glufosinate,FASCINATE -  [L],103.54,103.54,696.45,702.56
CP Core,Andean,Colombia,Specialty,Citrus (L2),Herbicides,glufosinate,FASCINATE -  [L],127.14,127.14,855.19,862.7
CP Core,Andean,Colombia,Specialty,Grapes (L2),Herbicides,glufosinate,FASCINATE -  [L],15.67,15.67,105.41,106.33
CP Core,Andean,Colombia,Specialty,Plantations Coffee (L2),Herbicides,glufosinate,FASCINATE -  [L],64.48,64.48,433.74,437.54
CP Core,Andean,Colombia,Specialty,Bananas (L3),Herbicides,glufosinate,FASCINATE -  [L],53.74,53.74,361.45,364.62
CP Core,Andean,Colombia,Specialty,Plantain (L3),Herbicides,glufosinate,FASCINATE -  [L],53.74,53.74,361.45,364.62
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Herbicides,glufosinate,FASCINATE -  [L],13.7,13.7,92.12,92.93
CP Core,Andean,Colombia,Vegetables,Cucurbits Others (L3),Herbicides,glufosinate,FASCINATE -  [L],2.67,2.67,17.96,18.11
CP Core,Andean,Colombia,Specialty,Specialty Others Remaining (L3),Insecticides,alpha-cypermethrin,FASTAC 10 -  [L],26.36,26.36,185.26,186.89
